Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 111.0.0.0,,,2023-03-21 15:09:22,2023-03-21 15:10:01,38.413s,PASSED
,,,,,,,
Test Cases/test_Login/Login using standard user,Chrome 111.0.0.0,,,2023-03-21 15:09:23,2023-03-21 15:09:33,10.187s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-21 15:09:24,2023-03-21 15:09:27,3.168s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 15:09:27,2023-03-21 15:09:27,0.169s,PASSED
navigateToUrl(Website),Chrome 111.0.0.0,,,2023-03-21 15:09:27,2023-03-21 15:09:28,0.746s,PASSED
"setText(findTestObject(""Login_pages/input_userName""), Standard_user)",Chrome 111.0.0.0,,,2023-03-21 15:09:28,2023-03-21 15:09:28,0.875s,PASSED
"setText(findTestObject(""Login_pages/input_userPassword""), Password)",Chrome 111.0.0.0,,,2023-03-21 15:09:28,2023-03-21 15:09:29,0.805s,PASSED
"click(findTestObject(""Login_pages/loginButton""))",Chrome 111.0.0.0,,,2023-03-21 15:09:29,2023-03-21 15:09:30,0.570s,PASSED
delay(2),Chrome 111.0.0.0,,,2023-03-21 15:09:30,2023-03-21 15:09:32,2.053s,PASSED
"takeScreenshot(""standard_user.png"")",Chrome 111.0.0.0,,,2023-03-21 15:09:32,2023-03-21 15:09:32,0.485s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-21 15:09:32,2023-03-21 15:09:33,0.713s,PASSED
,,,,,,,
Test Cases/test_Login/Login using locked user,Chrome 111.0.0.0,,,2023-03-21 15:09:33,2023-03-21 15:09:42,8.666s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-21 15:09:34,2023-03-21 15:09:35,1.345s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 15:09:35,2023-03-21 15:09:35,0.144s,PASSED
navigateToUrl(Website),Chrome 111.0.0.0,,,2023-03-21 15:09:35,2023-03-21 15:09:36,1.285s,PASSED
"setText(findTestObject(""Login_pages/input_userName""), Locked_out_user)",Chrome 111.0.0.0,,,2023-03-21 15:09:36,2023-03-21 15:09:37,0.773s,PASSED
"setText(findTestObject(""Login_pages/input_userPassword""), Password)",Chrome 111.0.0.0,,,2023-03-21 15:09:37,2023-03-21 15:09:38,0.729s,PASSED
"click(findTestObject(""Login_pages/loginButton""))",Chrome 111.0.0.0,,,2023-03-21 15:09:38,2023-03-21 15:09:38,0.412s,PASSED
"verifyElementText(findTestObject(""Login_pages/errorMessage""), ""Epic sadface: Sorry, this user has been locked out."")",Chrome 111.0.0.0,,,2023-03-21 15:09:38,2023-03-21 15:09:39,0.491s,PASSED
delay(2),Chrome 111.0.0.0,,,2023-03-21 15:09:39,2023-03-21 15:09:41,2.007s,PASSED
"takeScreenshot(""locked_user.png"")",Chrome 111.0.0.0,,,2023-03-21 15:09:41,2023-03-21 15:09:41,0.366s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-21 15:09:41,2023-03-21 15:09:42,0.681s,PASSED
,,,,,,,
Test Cases/test_Login/Login using problem user,Chrome 111.0.0.0,,,2023-03-21 15:09:42,2023-03-21 15:09:52,10.532s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-21 15:09:42,2023-03-21 15:09:43,1.307s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 15:09:43,2023-03-21 15:09:44,0.144s,PASSED
navigateToUrl(Website),Chrome 111.0.0.0,,,2023-03-21 15:09:44,2023-03-21 15:09:44,0.360s,PASSED
"setText(findTestObject(""Login_pages/input_userName""), Performance_glitch_user)",Chrome 111.0.0.0,,,2023-03-21 15:09:44,2023-03-21 15:09:45,0.790s,PASSED
"setText(findTestObject(""Login_pages/input_userPassword""), Password)",Chrome 111.0.0.0,,,2023-03-21 15:09:45,2023-03-21 15:09:46,0.750s,PASSED
"click(findTestObject(""Login_pages/loginButton""))",Chrome 111.0.0.0,,,2023-03-21 15:09:46,2023-03-21 15:09:51,5.483s,PASSED
waitForPageLoad(2),Chrome 111.0.0.0,,,2023-03-21 15:09:51,2023-03-21 15:09:51,0.191s,PASSED
"takeScreenshot(""performance_user.png"")",Chrome 111.0.0.0,,,2023-03-21 15:09:51,2023-03-21 15:09:52,0.411s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-21 15:09:52,2023-03-21 15:09:52,0.663s,PASSED
,,,,,,,
Test Cases/test_Login/Login using performance user,Chrome 111.0.0.0,,,2023-03-21 15:09:52,2023-03-21 15:10:01,8.620s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-21 15:09:53,2023-03-21 15:09:54,1.295s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 15:09:54,2023-03-21 15:09:54,0.143s,PASSED
navigateToUrl(Website),Chrome 111.0.0.0,,,2023-03-21 15:09:54,2023-03-21 15:09:55,0.395s,PASSED
"setText(findTestObject(""Login_pages/input_userName""), Problem_user)",Chrome 111.0.0.0,,,2023-03-21 15:09:55,2023-03-21 15:09:55,0.785s,PASSED
"setText(findTestObject(""Login_pages/input_userPassword""), Password)",Chrome 111.0.0.0,,,2023-03-21 15:09:55,2023-03-21 15:09:56,0.721s,PASSED
"click(findTestObject(""Login_pages/loginButton""))",Chrome 111.0.0.0,,,2023-03-21 15:09:56,2023-03-21 15:09:57,0.475s,PASSED
"verifyImagePresent(findTestObject(""Product_pages/imgError""))",Chrome 111.0.0.0,,,2023-03-21 15:09:57,2023-03-21 15:09:58,1.292s,PASSED
delay(2),Chrome 111.0.0.0,,,2023-03-21 15:09:58,2023-03-21 15:10:00,2.003s,PASSED
"takeScreenshot(""problem_user.png"")",Chrome 111.0.0.0,,,2023-03-21 15:10:00,2023-03-21 15:10:00,0.427s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-21 15:10:00,2023-03-21 15:10:01,0.664s,PASSED
